22 21 false false
21 20 false false
20 17 false false
19 17 false false
19 18 false false
18 17 false false
17 16 false false
16 14 false false
14 12 false false
14 11 false false
15 13 false false
13 12 false false
12 10 false false
11 9 false false
10 63 false false
63 7 false false
9 8 false false
9 62 false false
62 6 false false
8 5 false false
7 4 false false
63 6 false false
5 64 false false
6 3 false false
4 3 true false
4 2 false false
3 64 false false
64 1 false false
3 1 false false
2 1 false false
0 1 false false

26 23 false false
26 24 false false
25 26 false false
25 27 false false
26 29 false false
27 33 false false
29 28 false false
29 32 false false
28 30 false false
30 31 false false
31 32 true false
32 33 true false
31 34 false false
32 35 false false
33 36 false false
34 35 true false
35 36 true false
34 37 false false
37 38 true false
35 38 false false
35 36 true false
36 39 false false
38 39 true false
38 40 false false
39 41 false false
40 41 true false
40 46 false false
39 43 false false
42 43 true false
41 42 false false
46 42 true false
46 47 false false
47 45 true false
44 45 true false
43 52 false false
51 52 true false
50 51 true false
47 50 false false
50 49 true false
48 49 true false
45 49 false false
44 48 false false
48 53 false false
51 54 false false
52 55 false false
53 54 true false
54 55 true false
53 56 false false
53 57 false false
54 58 false false
55 59 false false
56 57 true false
57 58 true false
58 59 true false
58 60 false false
59 61 false false
60 61 true false
