0 1 true
0 14 true
1 2 true
1 13 true
2 3 true
2 8 true
3 4 true
3 7 true
4 5 true
5 6 true
6 7 true
7 8 true
8 9 true
8 10 true
9 27 true
10 11 true
11 12 true
11 13 true
12 30 true
13 14 true
14 15 true
15 16 true
16 17 true
17 0 true
18 19 true
18 32 true
19 20 true
19 31 true
20 21 true
20 26 true
21 22 true
21 25 true
22 23 true
23 24 true
24 25 true
25 26 true
26 27 true
26 28 true
27 45 true
28 29 true
29 30 true
29 31 true
30 48 true
31 32 true
32 33 true
33 34 true
34 35 true
35 18 true
36 37 true
36 50 true
37 38 true
37 49 true
38 39 true
38 44 true
39 40 true
39 43 true
40 41 true
41 42 true
43 44 true
44 45 true
44 46 true
45 63 true
46 47 true
47 48 true
47 49 true
48 66 true
49 50 true
50 51 true
51 52 true
52 53 true
53 36 true
54 55 true
54 68 true
55 56 true
55 67 true
56 57 true
56 62 true
57 58 true
57 61 true
58 59 true
59 60 true
60 61 true
61 62 true
62 63 true
62 64 true
64 65 true
65 66 true
65 67 true
67 68 true
68 69 true
69 70 true
70 71 true
71 54 true
